SG,,,,
,,,,
This Frequency provides the information whether the training macro-economic scenarios used are reported on a monthly basis or a quarterly basis or a yearly basis.,,,,
"The value ""1"" means ""Monthly""; ""0"" means ""Quarterly""; and the value ""-1"" means ""Yearly"".",,,,
If it is on a quarterly basis;the data should be reported in Month 3 6 9 12 while blank need be reported in other months.,,,,
If it is on a yearly basis; the data should be reported in Month 12 while blank need be reported in Month 1-11,,,,
Growth rate on a monthly basis should be MoM growth rate (non-annualized); on a quarterly basis should be QoQ growth rate (non-annualized); on a yearly basis should be YoY growth rate.,,,,
Frequency,,1,1,1
,,,,
This Macro Type provides the information that for each country whether the training macroeconomic scenario is the change (growth rate/difference) or the level.,,,,
"The value ""1"" means ""Change (Growth Rate %)"";  the value ""0"" means ""Change (Difference)""; the value ""-1"" means ""Level"".",,,,
Macro Type,,1,0,1
,,,,
year,month, GDP (growth rate), UNEMP (difference), CPI (growth rate)
2000,4,0.748735785,0.2,-0.008258418
2000,5,0.748735785,0.2,-0.254852221
2000,6,0.748735785,0.2,0.307550361
2000,7,1.033890428,-0.466666667,0.260616281
2000,8,1.033890428,-0.466666667,0.49047283
2000,9,1.033890428,-0.466666667,0.132261198
2000,10,0.215266148,0.066666667,0.204558738
2000,11,0.215266148,0.066666667,0.152814232
2000,12,0.215266148,0.066666667,0.235277674
2001,1,-0.200497412,-0.1,0.173139046
2001,2,-0.200497412,-0.1,-0.249399701
2001,3,-0.200497412,-0.1,0.282584426
2001,4,-0.775851198,0.1,0.126398794
2001,5,-0.775851198,0.1,-0.182988974
2001,6,-0.775851198,0.1,-0.327199313
2001,7,-0.857275064,0.233333333,0.273561185
2001,8,-0.857275064,0.233333333,-0.109125948
2001,9,-0.857275064,0.233333333,-0.03602766
2001,10,0.23263562,0.266666667,-0.113934941
2001,11,0.23263562,0.266666667,-0.226965874
2001,12,0.23263562,0.266666667,-0.187818621
2002,1,1.139908821,-0.033333333,-0.264142122
2002,2,1.139908821,-0.033333333,0.056249561
2002,3,1.139908821,-0.033333333,0.121805533
2002,4,0.97861865,-0.066666667,-0.100601268
2002,5,0.97861865,-0.066666667,0.555035129
2002,6,0.97861865,-0.066666667,0.313249645
2002,7,-0.103730889,0.066666667,-0.424874917
2002,8,-0.103730889,0.066666667,-0.099094163
2002,9,-0.103730889,0.066666667,-0.086355786
2002,10,-0.014781635,0.033333333,0.088766381
2002,11,-0.014781635,0.033333333,0.217051369
2002,12,-0.014781635,0.033333333,0.073358174
2003,1,0.417240234,0,0.319979521
2003,2,0.417240234,0,-0.489456958
2003,3,0.417240234,0,0.466222202
2003,4,-0.409784558,-0.033333333,-0.112534224
2003,5,-0.409784558,-0.033333333,-0.447159665
2003,6,-0.409784558,-0.033333333,0.275334251
2003,7,1.76123989,0.4,0.052356021
2003,8,1.76123989,0.4,0.097680098
2003,9,1.76123989,0.4,0.112687183
2003,10,1.0475511,-0.3,-0.031331229
2003,11,1.0475511,-0.3,0.184563953
2003,12,1.0475511,-0.3,0.279232516
2004,1,0.873590522,-0.066666667,0.372043582
2004,2,0.873590522,-0.066666667,0.762049476
2004,3,0.873590522,-0.066666667,-0.446688677
2004,4,0.472958097,-0.033333333,0.3029538
2004,5,0.472958097,-0.033333333,0.384412969
2004,6,0.472958097,-0.033333333,-0.175514577
2004,7,0.165925406,-0.2,0.213499566
2004,8,0.165925406,-0.2,-0.161777271
2004,9,0.165925406,-0.2,0.214531056
2004,10,0.779340151,0.066666667,-0.104758543
2004,11,0.779340151,0.066666667,0.003419622
2004,12,0.779340151,0.066666667,-0.231386495
2005,1,0.299913304,0,-0.254772704
2005,2,0.299913304,0,0.317274872
2005,3,0.299913304,0,0.05023806
2005,4,0.852316683,0.033333333,0.17688612
2005,5,0.852316683,0.033333333,-0.011391857
2005,6,0.852316683,0.033333333,-0.213051998
2005,7,0.860277766,0,0.139293258
2005,8,0.860277766,0,0.416158345
2005,9,0.860277766,0,0.328140612
2005,10,0.953349223,-0.2,0.152782336
2005,11,0.953349223,-0.2,-0.083619599
2005,12,0.953349223,-0.2,0.321187035
2006,1,0.704139946,-0.1,0.322413365
2006,2,0.704139946,-0.1,-0.288790004
2006,3,0.704139946,-0.1,0.145376683
2006,4,0.266755988,0.1,-0.070894851
2006,5,0.266755988,0.1,-0.163286449
2006,6,0.266755988,0.1,0.125203032
2006,7,0.686126166,0.033333333,-0.175740985
2006,8,0.686126166,0.033333333,-0.015799393
2006,9,0.686126166,0.033333333,0.183979142
2006,10,1.027380536,0,-0.09351059
2006,11,1.027380536,0,0.051873654
2006,12,1.027380536,0,0.764176144
